Time [s],delta GENCLS 1,delta GENCLS 2,omega GENCLS 1,omega GENCLS 2,a Bus 1,a Bus 2,a Bus 3,v Bus 1,v Bus 2,v Bus 3,q PV 1,q Slack 1,p Slack 1,Id GENCLS 1,Id GENCLS 2,Iq GENCLS 1,Iq GENCLS 2,vd GENCLS 1,vd GENCLS 2,vq GENCLS 1,vq GENCLS 2,tm GENCLS 1,tm GENCLS 2,te GENCLS 1,te GENCLS 2,vf GENCLS 1,vf GENCLS 2,XadIfd GENCLS 1,XadIfd GENCLS 2,Pe GENCLS 1,Pe GENCLS 2,Qe GENCLS 1,Qe GENCLS 2,psid GENCLS 1,psid GENCLS 2,psiq GENCLS 1,psiq GENCLS 2
0.000000000000000000e+00,5.243271251429554303e-01,-9.440000503901135377e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.246147744749023900e-01,2.384883103743468326e-22,1.872571655325666884e-01,1.030000000000002247e+00,1.000000000000001776e+00,1.004014153272273058e+00,2.433709896592913813e-01,6.837110822249846398e-02,-9.439999820837885469e-01,4.134091100449467371e-01,6.837110911363425414e-02,8.514126392916692154e-01,-9.439999820192445101e-01,2.043390292959096355e-01,-9.439999280569684014e-10,1.009527394926165611e+00,1.000000000000001776e+00,9.440000089581059850e-01,-9.439999820837877698e-01,9.440000089581059850e-01,-9.439999820837877698e-01,1.108745589851079183e+00,1.000000000068371975e+00,1.108745589851079183e+00,1.000000000068371975e+00,9.440000000000001723e-01,-9.439999820837885469e-01,2.433709896592914645e-01,6.837110822249846398e-02,1.009527403440291904e+00,1.000000000000000888e+00,-2.043390334300007327e-01,9.439998596858593896e-10
3.333333333333333287e-02,5.243271251429554303e-01,-9.440000503901135377e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.246147744749023900e-01,2.384883103743468326e-22,1.872571655325666884e-01,1.030000000000002247e+00,1.000000000000001776e+00,1.004014153272273058e+00,2.433709896592913813e-01,6.837110822249846398e-02,-9.439999820837885469e-01,4.134091100449467371e-01,6.837110911363425414e-02,8.514126392916692154e-01,-9.439999820192445101e-01,2.043390292959096355e-01,-9.439999280569684014e-10,1.009527394926165611e+00,1.000000000000001776e+00,9.440000089581059850e-01,-9.439999820837877698e-01,9.440000089581059850e-01,-9.439999820837877698e-01,1.108745589851079183e+00,1.000000000068371975e+00,1.108745589851079183e+00,1.000000000068371975e+00,9.440000000000001723e-01,-9.439999820837885469e-01,2.433709896592914645e-01,6.837110822249846398e-02,1.009527403440291904e+00,1.000000000000000888e+00,-2.043390334300007327e-01,9.439998596858593896e-10
6.666666666666666574e-02,5.243271251429554303e-01,-9.440000503901135377e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.246147744749023900e-01,2.384883103743468326e-22,1.872571655325666884e-01,1.030000000000002247e+00,1.000000000000001776e+00,1.004014153272273058e+00,2.433709896592913813e-01,6.837110822249846398e-02,-9.439999820837885469e-01,4.134091100449467371e-01,6.837110911363425414e-02,8.514126392916692154e-01,-9.439999820192445101e-01,2.043390292959096355e-01,-9.439999280569684014e-10,1.009527394926165611e+00,1.000000000000001776e+00,9.440000089581059850e-01,-9.439999820837877698e-01,9.440000089581059850e-01,-9.439999820837877698e-01,1.108745589851079183e+00,1.000000000068371975e+00,1.108745589851079183e+00,1.000000000068371975e+00,9.440000000000001723e-01,-9.439999820837885469e-01,2.433709896592914645e-01,6.837110822249846398e-02,1.009527403440291904e+00,1.000000000000000888e+00,-2.043390334300007327e-01,9.439998596858593896e-10
1.000000000000000056e-01,5.243271251429554303e-01,-9.440000503901135377e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.246147744749023900e-01,2.384883103743468326e-22,1.872571655325666884e-01,1.030000000000002247e+00,1.000000000000001776e+00,1.004014153272273058e+00,2.433709896592913813e-01,6.837110822249846398e-02,-9.439999820837885469e-01,4.134091100449467371e-01,6.837110911363425414e-02,8.514126392916692154e-01,-9.439999820192445101e-01,2.043390292959096355e-01,-9.439999280569684014e-10,1.009527394926165611e+00,1.000000000000001776e+00,9.440000089581059850e-01,-9.439999820837877698e-01,9.440000089581059850e-01,-9.439999820837877698e-01,1.108745589851079183e+00,1.000000000068371975e+00,1.108745589851079183e+00,1.000000000068371975e+00,9.440000000000001723e-01,-9.439999820837885469e-01,2.433709896592914645e-01,6.837110822249846398e-02,1.009527403440291904e+00,1.000000000000000888e+00,-2.043390334300007327e-01,9.439998596858593896e-10
1.333333333333333315e-01,5.243271251429554303e-01,-9.440000503901135377e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.246147744749023900e-01,2.384883103743468326e-22,1.872571655325666884e-01,1.030000000000002247e+00,1.000000000000001776e+00,1.004014153272273058e+00,2.433709896592913813e-01,6.837110822249846398e-02,-9.439999820837885469e-01,4.134091100449467371e-01,6.837110911363425414e-02,8.514126392916692154e-01,-9.439999820192445101e-01,2.043390292959096355e-01,-9.439999280569684014e-10,1.009527394926165611e+00,1.000000000000001776e+00,9.440000089581059850e-01,-9.439999820837877698e-01,9.440000089581059850e-01,-9.439999820837877698e-01,1.108745589851079183e+00,1.000000000068371975e+00,1.108745589851079183e+00,1.000000000068371975e+00,9.440000000000001723e-01,-9.439999820837885469e-01,2.433709896592914645e-01,6.837110822249846398e-02,1.009527403440291904e+00,1.000000000000000888e+00,-2.043390334300007327e-01,9.439998596858593896e-10
1.666666666666666574e-01,5.243271251429554303e-01,-9.440000503901135377e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.246147744749023900e-01,2.384883103743468326e-22,1.872571655325666884e-01,1.030000000000002247e+00,1.000000000000001776e+00,1.004014153272273058e+00,2.433709896592913813e-01,6.837110822249846398e-02,-9.439999820837885469e-01,4.134091100449467371e-01,6.837110911363425414e-02,8.514126392916692154e-01,-9.439999820192445101e-01,2.043390292959096355e-01,-9.439999280569684014e-10,1.009527394926165611e+00,1.000000000000001776e+00,9.440000089581059850e-01,-9.439999820837877698e-01,9.440000089581059850e-01,-9.439999820837877698e-01,1.108745589851079183e+00,1.000000000068371975e+00,1.108745589851079183e+00,1.000000000068371975e+00,9.440000000000001723e-01,-9.439999820837885469e-01,2.433709896592914645e-01,6.837110822249846398e-02,1.009527403440291904e+00,1.000000000000000888e+00,-2.043390334300007327e-01,9.439998596858593896e-10
1.999999999999999833e-01,5.243271251429554303e-01,-9.440000503901135377e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.246147744749023900e-01,2.384883103743468326e-22,1.872571655325666884e-01,1.030000000000002247e+00,1.000000000000001776e+00,1.004014153272273058e+00,2.433709896592913813e-01,6.837110822249846398e-02,-9.439999820837885469e-01,4.134091100449467371e-01,6.837110911363425414e-02,8.514126392916692154e-01,-9.439999820192445101e-01,2.043390292959096355e-01,-9.439999280569684014e-10,1.009527394926165611e+00,1.000000000000001776e+00,9.440000089581059850e-01,-9.439999820837877698e-01,9.440000089581059850e-01,-9.439999820837877698e-01,1.108745589851079183e+00,1.000000000068371975e+00,1.108745589851079183e+00,1.000000000068371975e+00,9.440000000000001723e-01,-9.439999820837885469e-01,2.433709896592914645e-01,6.837110822249846398e-02,1.009527403440291904e+00,1.000000000000000888e+00,-2.043390334300007327e-01,9.439998596858593896e-10
2.333333333333333093e-01,5.243271251429554303e-01,-9.440000503901135377e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.246147744749023900e-01,2.384883103743468326e-22,1.872571655325666884e-01,1.030000000000002247e+00,1.000000000000001776e+00,1.004014153272273058e+00,2.433709896592913813e-01,6.837110822249846398e-02,-9.439999820837885469e-01,4.134091100449467371e-01,6.837110911363425414e-02,8.514126392916692154e-01,-9.439999820192445101e-01,2.043390292959096355e-01,-9.439999280569684014e-10,1.009527394926165611e+00,1.000000000000001776e+00,9.440000089581059850e-01,-9.439999820837877698e-01,9.440000089581059850e-01,-9.439999820837877698e-01,1.108745589851079183e+00,1.000000000068371975e+00,1.108745589851079183e+00,1.000000000068371975e+00,9.440000000000001723e-01,-9.439999820837885469e-01,2.433709896592914645e-01,6.837110822249846398e-02,1.009527403440291904e+00,1.000000000000000888e+00,-2.043390334300007327e-01,9.439998596858593896e-10
2.666666666666666630e-01,5.243271251429554303e-01,-9.440000503901135377e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.246147744749023900e-01,2.384883103743468326e-22,1.872571655325666884e-01,1.030000000000002247e+00,1.000000000000001776e+00,1.004014153272273058e+00,2.433709896592913813e-01,6.837110822249846398e-02,-9.439999820837885469e-01,4.134091100449467371e-01,6.837110911363425414e-02,8.514126392916692154e-01,-9.439999820192445101e-01,2.043390292959096355e-01,-9.439999280569684014e-10,1.009527394926165611e+00,1.000000000000001776e+00,9.440000089581059850e-01,-9.439999820837877698e-01,9.440000089581059850e-01,-9.439999820837877698e-01,1.108745589851079183e+00,1.000000000068371975e+00,1.108745589851079183e+00,1.000000000068371975e+00,9.440000000000001723e-01,-9.439999820837885469e-01,2.433709896592914645e-01,6.837110822249846398e-02,1.009527403440291904e+00,1.000000000000000888e+00,-2.043390334300007327e-01,9.439998596858593896e-10
2.999999999999999889e-01,5.243271251429554303e-01,-9.440000503901135377e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.246147744749023900e-01,2.384883103743468326e-22,1.872571655325666884e-01,1.030000000000002247e+00,1.000000000000001776e+00,1.004014153272273058e+00,2.433709896592913813e-01,6.837110822249846398e-02,-9.439999820837885469e-01,4.134091100449467371e-01,6.837110911363425414e-02,8.514126392916692154e-01,-9.439999820192445101e-01,2.043390292959096355e-01,-9.439999280569684014e-10,1.009527394926165611e+00,1.000000000000001776e+00,9.440000089581059850e-01,-9.439999820837877698e-01,9.440000089581059850e-01,-9.439999820837877698e-01,1.108745589851079183e+00,1.000000000068371975e+00,1.108745589851079183e+00,1.000000000068371975e+00,9.440000000000001723e-01,-9.439999820837885469e-01,2.433709896592914645e-01,6.837110822249846398e-02,1.009527403440291904e+00,1.000000000000000888e+00,-2.043390334300007327e-01,9.439998596858593896e-10
