         2957751 function calls (2957677 primitive calls) in 7.699 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1540    0.010    0.000    0.069    0.000 /home/hcui7/repos/andes_github/andes/models/shunt.py:51(gycall)
593177/593162    0.066    0.000    0.066    0.000 {built-in method builtins.len}
      641    0.016    0.000    0.065    0.000 /home/hcui7/repos/andes_github/andes/models/zone.py:114(seriesflow)
      586    0.003    0.000    0.064    0.000 /home/hcui7/repos/andes_github/andes/models/pv.py:124(jac0)
     1535    0.005    0.000    0.064    0.000 /home/hcui7/repos/andes_github/andes/models/synchronous.py:365(gycall)
     3729    0.062    0.000    0.062    0.000 {built-in method builtins.max}
     1535    0.036    0.000    0.060    0.000 /home/hcui7/repos/andes_github/andes/models/vsc.py:533(current_fcall)
      292    0.005    0.000    0.060    0.000 /home/hcui7/repos/andes_github/andes/models/governor.py:122(jac0)
     1535    0.010    0.000    0.059    0.000 /home/hcui7/repos/andes_github/andes/models/windturbine.py:18(gcall)
      293    0.001    0.000    0.056    0.000 /home/hcui7/repos/andes_github/andes/models/pv.py:164(jac0)
    12282    0.030    0.000    0.050    0.000 /home/hcui7/repos/andes_github/andes/utils/math.py:142(findeq)
     1535    0.007    0.000    0.050    0.000 /home/hcui7/repos/andes_github/andes/models/synchronous.py:169(fxcall)
     4672    0.049    0.000    0.049    0.000 /home/hcui7/repos/andes_github/andes/models/base.py:541(add_jac)
     7853    0.016    0.000    0.048    0.000 /home/hcui7/repos/andes_github/andes/utils/math.py:81(polar)
     1827    0.013    0.000    0.045    0.000 /home/hcui7/repos/andes_github/andes/models/windturbine.py:72(phi)
   446687    0.044    0.000    0.044    0.000 /home/hcui7/repos/andes_github/andes/utils/math.py:73(<lambda>)
      292    0.004    0.000    0.043    0.000 /home/hcui7/repos/andes_github/andes/models/avr.py:65(jac0)
     3070    0.017    0.000    0.041    0.000 /home/hcui7/repos/andes_github/andes/models/avr.py:88(dSe)
     1542    0.028    0.000    0.040    0.000 /home/hcui7/repos/andes_github/andes/models/pq.py:53(gcall)
    12404    0.039    0.000    0.039    0.000 {built-in method builtins.sum}
     1535    0.022    0.000    0.036    0.000 /home/hcui7/repos/andes_github/andes/models/vsc.py:622(outer_fcall)
     1540    0.021    0.000    0.036    0.000 /home/hcui7/repos/andes_github/andes/models/dcbase.py:541(gcall)
      292    0.003    0.000    0.035    0.000 /home/hcui7/repos/andes_github/andes/models/synchronous.py:139(jac0)
     1447    0.035    0.000    0.035    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     6141    0.028    0.000    0.034    0.000 /home/hcui7/repos/andes_github/andes/utils/math.py:44(ageb)
     1540    0.003    0.000    0.032    0.000 /home/hcui7/repos/andes_github/andes/variables/dae.py:59(setup_FxGy)
     1535    0.018    0.000    0.031    0.000 /home/hcui7/repos/andes_github/andes/models/synchronous.py:359(gcall)
      293    0.031    0.000    0.031    0.000 {built-in method cvxoptklu.klu.symbolic}
     1540    0.024    0.000    0.031    0.000 /home/hcui7/repos/andes_github/andes/models/pv.py:87(gcall)
      292    0.002    0.000    0.030    0.000 /home/hcui7/repos/andes_github/andes/models/synchronous.py:379(jac0)
     1535    0.018    0.000    0.030    0.000 /home/hcui7/repos/andes_github/andes/models/measurement.py:48(fcall)
     1535    0.015    0.000    0.029    0.000 /home/hcui7/repos/andes_github/andes/models/governor.py:110(fcall)
      293    0.002    0.000    0.028    0.000 /home/hcui7/repos/andes_github/andes/models/dcbase.py:261(jac0)
     2564    0.025    0.000    0.028    0.000 /home/hcui7/repos/andes_github/andes/models/line.py:374(get_flow_by_idx)
      293    0.002    0.000    0.027    0.000 /home/hcui7/repos/andes_github/andes/models/dcbase.py:207(jac0)
     6141    0.022    0.000    0.026    0.000 /home/hcui7/repos/andes_github/andes/utils/math.py:37(aleb)
     1535    0.004    0.000    0.025    0.000 /home/hcui7/repos/andes_github/andes/models/wind.py:94(gcall)
     7439    0.025    0.000    0.025    0.000 {built-in method cvxopt.base.spdiag}
     1540    0.017    0.000    0.024    0.000 /home/hcui7/repos/andes_github/andes/models/dcbase.py:253(gcall)
     1540    0.013    0.000    0.022    0.000 /home/hcui7/repos/andes_github/andes/models/pv.py:158(gcall)
     1535    0.020    0.000    0.021    0.000 /home/hcui7/repos/andes_github/andes/models/wind.py:73(windspeed)
     1541    0.005    0.000    0.021    0.000 /home/hcui7/repos/andes_github/andes/variables/dae.py:54(setup_Fx)
     1542    0.014    0.000    0.021    0.000 /home/hcui7/repos/andes_github/andes/models/shunt.py:46(gcall)
     1535    0.011    0.000    0.020    0.000 /home/hcui7/repos/andes_github/andes/models/synchronous.py:369(fcall)
     1540    0.017    0.000    0.020    0.000 /home/hcui7/repos/andes_github/andes/models/dcbase.py:199(gcall)
     1542    0.002    0.000    0.020    0.000 /home/hcui7/repos/andes_github/andes/variables/dae.py:37(init_fg)
    21689    0.019    0.000    0.019    0.000 {built-in method cvxopt.base.exp}
      292    0.002    0.000    0.018    0.000 /home/hcui7/repos/andes_github/andes/models/measurement.py:53(jac0)
     1281    0.016    0.000    0.018    0.000 /home/hcui7/repos/andes_github/andes/models/zone.py:155(interchange_varout)
    12289    0.017    0.000    0.017    0.000 {method 'count' of 'list' objects}
       53    0.000    0.000    0.015    0.000 /home/hcui7/repos/andes_github/andes/utils/logger.py:94(_raw_log)
     9375    0.015    0.000    0.015    0.000 /home/hcui7/repos/andes_github/andes/utils/math.py:86(conj)
     7697    0.015    0.000    0.015    0.000 /home/hcui7/repos/andes_github/andes/models/dcbase.py:97(v12)
     1830    0.013    0.000    0.015    0.000 /home/hcui7/repos/andes_github/andes/utils/math.py:31(agtb)
        1    0.000    0.000    0.014    0.014 /home/hcui7/repos/andes_github/andes/routines/powerflow.py:24(run)
       47    0.000    0.000    0.014    0.000 /home/hcui7/repos/andes_github/andes/utils/logger.py:112(info)
     1535    0.012    0.000    0.014    0.000 /home/hcui7/repos/andes_github/andes/models/avr.py:53(gcall)
     1827    0.009    0.000    0.014    0.000 /home/hcui7/repos/andes_github/andes/utils/math.py:96(mfloor)
        1    0.000    0.000    0.013    0.013 /home/hcui7/repos/andes_github/andes/routines/powerflow.py:167(newton)
     1540    0.005    0.000    0.013    0.000 /home/hcui7/repos/andes_github/andes/models/dcbase.py:258(fcall)
        5    0.000    0.000    0.012    0.002 /home/hcui7/repos/andes_github/andes/routines/powerflow.py:52(calcInc)
    22/20    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap>:966(_find_and_load)
     1540    0.012    0.000    0.012    0.000 {built-in method cvxoptklu.klu.solve}
    50361    0.012    0.000    0.012    0.000 {built-in method builtins.abs}
    22/20    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
      292    0.001    0.000    0.011    0.000 /home/hcui7/repos/andes_github/andes/models/windturbine.py:25(jac0)
      292    0.001    0.000    0.011    0.000 /home/hcui7/repos/andes_github/andes/models/wind.py:100(jac0)
    22/20    0.000    0.000    0.010    0.001 <frozen importlib._bootstrap>:659(_load_unlocked)
     1535    0.006    0.000    0.010    0.000 /home/hcui7/repos/andes_github/andes/models/synchronous.py:136(fcall)
     1537    0.004    0.000    0.010    0.000 /home/hcui7/repos/andes_github/andes/models/avr.py:82(Se)
      293    0.001    0.000    0.010    0.000 /home/hcui7/repos/andes_github/andes/models/dcbase.py:520(jac0)
     7739    0.010    0.000    0.010    0.000 /home/hcui7/repos/andes_github/andes/utils/math.py:116(ones)
     1537    0.009    0.000    0.010    0.000 /home/hcui7/repos/andes_github/andes/utils/math.py:24(mmin)
     1542    0.005    0.000    0.010    0.000 /home/hcui7/repos/andes_github/andes/variables/dae.py:41(init_f)
        1    0.000    0.000    0.010    0.010 /home/hcui7/repos/andes_github/andes/filters/__init__.py:67(parse)
       15    0.010    0.001    0.010    0.001 {built-in method io.open}
       46    0.000    0.000    0.010    0.000 /usr/lib/python3.5/importlib/__init__.py:108(import_module)
       48    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap>:972(_gcd_import)
        1    0.002    0.002    0.010    0.010 /home/hcui7/repos/andes_github/andes/filters/dome.py:52(read)
        1    0.000    0.000    0.009    0.009 /home/hcui7/repos/andes_github/andes/system.py:37(__init__)
      640    0.004    0.000    0.009    0.000 /home/hcui7/repos/andes_github/andes/variables/call.py:87(get_times)
      639    0.004    0.000    0.009    0.000 /home/hcui7/repos/andes_github/andes/routines/timedomain.py:355(time_step)
        1    0.000    0.000    0.009    0.009 /home/hcui7/repos/andes_github/andes/system.py:100(inst_models)
     1541    0.002    0.000    0.009    0.000 /home/hcui7/repos/andes_github/andes/variables/dae.py:51(setup_Gy)
     1535    0.006    0.000    0.008    0.000 /home/hcui7/repos/andes_github/andes/models/governor.py:58(gcall)
        1    0.000    0.000    0.008    0.008 /home/hcui7/repos/andes_github/andes/variables/report.py:14(preamble)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3.5/platform.py:1111(system)
